country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Thailand,Lao P.Dem.R,0.2263647855368808,0.14100116042347763,812,800,1964,2031,1964,16,Use of force,5,0,0,0,1,0.21448822908716766,0.15244971784023986,-0.011876556449713138,0.011448557416762234
Viet Nam,Cambodia,0.4299129355328022,0.1568919073416107,811,817,1964,1213,1965,17,Use of force,5,NA,0,0,1,0.49810135969202696,0.08798208494807058,0.06818842415922477,-0.06890982239354013
Sweden,Fm USSR,0.22155559016343268,0.08218185860103548,365,380,1964,2907,1964,12,Display of force,5,0,0,0,1,0.1936971141040276,0.07553846718841767,-0.027858476059405085,-0.006643391412617813
Cambodia,Viet Nam,0.4299129355328022,0.1568919073416107,817,811,1964,1213,1965,16,Use of force,5,NA,0,0,1,0.49810135969202696,0.08798208494807058,0.06818842415922477,-0.06890982239354013
Egypt,USA,0.13219730711572067,0.022945778184244568,2,651,1964,2906,1964,0,No militarized action,5,0,0,0,1,NA,NA,NA,NA
Egypt,Israel,0.010277331123629755,0.13227240627198417,666,651,1964,3378,1965,15,Use of force,5,0,0,0,1,NA,NA,NA,NA
Egypt,Saudi Arabia,0.25788185679327275,0.2084177840313505,670,651,1964,2153,1964,1,Threat to use force,5,0,0,0,1,NA,NA,NA,NA
Saudi Arabia,Egypt,0.25788185679327275,0.2084177840313505,651,670,1964,2153,1964,0,No militarized action,5,0,0,0,1,NA,NA,NA,NA
Indonesia,Malaysia,0.28831159337646334,0.5089126912173844,820,850,1964,2904,1964,0,No militarized action,5,0,0,0,1,0.18907610072757872,0.2789325288647765,-0.09923549264888462,-0.22998016235260788
China,India,0.03940753239828699,0.030699419616724677,750,710,1964,623,1966,16,Use of force,5,3,0,0,1,0.047226357905402694,0.18986316867346723,0.007818825507115705,0.15916374905674255
China,Fm USSR,0.11470932113733544,0.6210710139786698,365,710,1964,2707,1965,12,Display of force,5,0,0,0,1,0.05262951642325825,0.7467344854521245,-0.06207980471407719,0.1256634714734547
Fm USSR,USA,0.09347649433011564,0.037299476358502094,2,365,1964,2220,1964,12,Display of force,7,1,0,0,1,0.0900109171047885,0.04956488221326985,-0.0034655772253271433,0.012265405854767757
Fm USSR,USA,0.09347649433011564,0.037299476358502094,2,365,1964,2901,1964,0,No militarized action,5,0,0,0,1,0.0900109171047885,0.04956488221326985,-0.0034655772253271433,0.012265405854767757
Fm USSR,Sweden,0.22155559016343268,0.08218185860103548,380,365,1964,2907,1964,0,No militarized action,5,0,0,0,1,0.1936971141040276,0.07553846718841767,-0.027858476059405085,-0.006643391412617813
Fm USSR,China,0.11470932113733544,0.6210710139786698,710,365,1964,2707,1965,12,Display of force,5,0,0,0,1,0.05262951642325825,0.7467344854521245,-0.06207980471407719,0.1256634714734547
Fm USSR,Korea D P Rp,0.19629948329600477,0.00972245501816195,731,365,1964,1379,1971,17,Use of force,5,4,0,0,1,0.03110662891006962,0.21374706209236657,-0.16519285438593515,0.2040246070742046
Lao P.Dem.R,Thailand,0.2263647855368808,0.14100116042347763,800,812,1964,2031,1964,8,Display of force,5,0,0,0,1,0.21448822908716766,0.15244971784023986,-0.011876556449713138,0.011448557416762234
Burundi,Rwanda,3.4538188033180113e-4,0.6964717066643236,517,516,1964,1361,1964,16,Use of force,5,0,0,0,1,0.006916390179981028,0.42742618700976553,0.006571008299649227,-0.26904551965455803
Korea D P Rp,Korea Rep.,0.23883982408705784,0.06264365221203673,732,731,1964,1379,1971,17,Use of force,5,4,0,0,1,0.15349270709788645,0.2176105030442728,-0.08534711698917138,0.15496685083223605
Rwanda,Burundi,3.4538188033180113e-4,0.6964717066643236,516,517,1964,1361,1964,0,No militarized action,5,0,0,0,1,0.006916390179981028,0.42742618700976553,0.006571008299649227,-0.26904551965455803
Congo,Dem.Rp.Congo,0.11164128829632983,0.17700647569323616,490,484,1965,1328,1965,7,Display of force,5,0,0,0,1,0.059634778308201894,0.20703447070359327,-0.05200650998812793,0.030027995010357106
