dispnum3,statea,stateb,year,hiact,hostlev,outcome,fatality
1441,40,490,1975,17,4,5,NA
1447,770,750,1971,20,5,2,6
1447,750,770,1971,20,5,2,6
1449,750,790,1969,2,2,5,0
1449,790,750,1969,0,1,5,0
1450,850,235,1975,17,4,7,0
1450,235,850,1975,17,4,7,0
1462,750,790,1968,15,4,7,0
1462,790,750,1968,0,1,7,0
1463,750,790,1965,15,4,7,0
1463,790,750,1965,7,3,7,0
1466,750,790,1962,17,4,5,NA
1466,750,710,1962,17,4,5,NA
1466,790,750,1962,17,4,5,NA
1466,710,750,1962,1,2,5,NA
1469,771,750,1976,17,4,5,1
1469,750,771,1976,17,4,5,1
1472,2,731,1975,17,4,5,1
1472,732,731,1975,16,4,5,1
1472,731,2,1975,17,4,5,1
1472,731,732,1975,17,4,5,1
1480,666,365,1967,20,5,5,6
1480,666,651,1967,20,5,5,6
1480,365,666,1970,17,4,NA,NA
1480,651,666,1967,20,5,5,6
1481,395,260,1974,15,4,7,0
1481,260,395,1974,0,1,7,0
1605,800,811,1970,14,4,3,0
1605,811,800,1970,0,1,3,0
1608,155,160,1965,17,4,6,1
1608,160,155,1965,17,4,6,1
1609,155,160,1967,7,3,5,0
1609,160,155,1967,16,4,5,0
1610,811,800,1968,17,4,5,NA
1610,800,811,1968,17,4,5,NA
1612,645,670,1972,17,4,3,1
1612,645,690,1972,17,4,3,1
1612,670,645,1973,7,3,NA,NA
1612,690,645,1972,17,4,3,1
1613,645,690,1975,16,4,6,0
1613,690,645,1975,0,1,6,0
1713,710,210,1966,15,4,7,0
1713,210,710,1966,0,1,7,0
1715,710,750,1967,17,4,5,1
1715,750,710,1967,17,4,5,1
1717,200,230,1969,8,3,5,NA
1717,230,200,1969,7,3,5,NA
1718,365,360,1971,7,3,4,0
1718,310,360,1971,7,3,4,0
1718,315,360,1971,7,3,4,0
1718,360,365,1971,0,1,4,0
1718,360,310,1971,0,1,4,0
1718,360,315,1971,0,1,4,0
1720,345,339,1976,16,4,5,0
1720,339,345,1976,0,1,5,0
1803,130,2,1963,15,4,7,0
1803,2,130,1963,0,1,7,0
1804,552,551,1965,7,3,5,0
1804,552,200,1965,7,3,5,0
1804,551,552,1965,0,1,5,0
1804,200,552,1965,7,3,5,0
1805,130,2,1967,15,4,7,0
1805,2,130,1967,0,1,7,0
1806,817,811,1968,17,4,NA,NA
1806,2,710,1968,17,4,5,NA
1806,817,811,1968,17,4,NA,NA
1806,2,710,1968,17,4,5,NA
1806,811,817,1968,17,4,5,NA
1806,710,2,1968,1,2,NA,NA
1806,811,817,1968,17,4,5,NA
1806,710,2,1968,1,2,NA,NA
1807,452,365,1968,15,4,7,0
1807,365,452,1968,0,1,7,0
1808,165,385,1973,7,3,6,0
1808,165,160,1973,7,3,6,0
1808,385,165,1973,0,1,6,0
1808,160,165,1973,7,3,6,0
1809,501,500,1975,15,4,7,0
1809,500,501,1975,0,1,7,0
2017,800,812,1970,8,3,5,0
2017,812,800,1970,0,1,5,0
2031,800,812,1964,8,3,5,0
2031,812,800,1964,16,4,5,0
2053,700,365,1979,17,4,5,NA
2053,700,770,1979,17,4,5,NA
2053,365,700,1980,7,3,NA,NA
2053,770,700,1979,17,4,5,NA
2054,700,365,1983,17,4,5,NA
2054,700,770,1983,17,4,5,NA
2054,365,700,1984,7,3,NA,NA
2054,770,700,1983,17,4,5,NA
2059,355,345,1971,7,3,5,0
2059,345,355,1971,0,1,5,0
2066,520,530,1965,17,4,5,0
2066,530,520,1965,17,4,5,0
2067,520,530,1966,17,4,5,1
2067,530,520,1966,17,4,5,1
2068,520,530,1973,11,3,5,0
2068,530,520,1973,7,3,5,0
2069,520,40,1977,20,5,2,6
2069,520,530,1977,20,5,2,6
2069,40,520,1977,20,5,2,6
2069,530,520,1977,20,5,2,6
2070,530,520,1978,16,4,5,NA
2070,520,530,1978,16,4,5,NA
2071,530,520,1980,17,4,5,3
2071,520,530,1980,17,4,5,3
2072,530,520,1982,17,4,5,5
2072,520,530,1982,17,4,5,5
2074,530,520,1984,17,4,5,3
2074,520,530,1984,17,4,5,3
2075,530,520,1985,17,4,5,2
2075,520,530,1985,17,4,5,2
2080,160,155,1964,17,4,5,0
2080,155,160,1964,17,4,5,0
2081,155,160,1977,7,3,5,0
2081,160,155,1977,7,3,5,0
2082,160,155,1978,10,3,5,0
2082,155,160,1978,10,3,5,0
2083,155,160,1980,15,4,5,0
2083,160,155,1980,15,4,5,0
2084,155,160,1981,16,4,5,0
2084,160,155,1981,15,4,5,0
2086,160,155,1983,7,3,6,0
2086,155,160,1983,7,3,6,0
2087,160,155,1984,16,4,5,0
2087,155,160,1984,0,1,5,0
2097,710,750,1967,15,4,7,0
2097,750,710,1967,0,1,7,0
2098,710,750,1969,1,2,5,0
2098,750,710,1969,0,1,5,0
2099,750,710,1971,12,3,5,0
