country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Libya,Egypt,0.7988864732872001,0.16243001150882094,651,620,1984,3051,1984,8,Display of force,3,0,1,0,1,0.8125229334325325,0.1653229275543459,0.013636460145332374,0.002892916045524968
Libya,USA,3.8425983467323317e-4,0.3036105832585734,2,620,1984,3051,1984,1,Threat to use force,3,0,1,0,1,4.8248201961640757e-4,0.11790756876039123,9.82221849431744e-5,-0.18570301449818216
Iran,USA,-1.4433919965431885e-4,0.06492980696647925,2,630,1985,3625,1986,1,Threat to use force,3,0,1,0,1,4.7681627505885435e-5,0.11512767098998884,1.9202082716020428e-4,0.05019786402350959
Iran,Kuwait,0.47103699799912535,0.15201453485986255,690,630,1985,3625,1986,8,Display of force,3,0,1,0,1,0.6554706279207442,0.12555428777793645,0.18443362992161882,-0.026460247081926097
Iran,Saudi Arabia,0.7557998963066621,0.14139235404420308,670,630,1985,3625,1986,1,Threat to use force,3,0,1,0,1,0.8386465477081221,0.19113683034215004,0.08284665140145997,0.049744476297946955
Iran,UK,0.3527241449952035,0.12891179152739596,200,630,1985,3625,1986,1,Threat to use force,3,0,1,0,1,0.34695890393411916,0.18961417875685727,-0.005765241061084336,0.06070238722946131
Libya,USA,-4.004067996481612e-4,0.10508588399515952,2,620,1986,3636,1986,16,Use of force,3,NA,1,0,1,-4.992841664969012e-4,0.09845547225873875,-9.887736684874006e-5,-0.00663041173642076
Sri Lanka,India,0.22221211478317568,0.16943882547381858,750,780,1987,2778,1987,7,Display of force,4,0,1,0,1,0.2201820967918255,0.2217712236697379,-0.0020300179913501915,0.05233239819591931
Panama,USA,0.008748529336550225,0.020194903878675785,2,95,1989,3901,1989,16,Use of force,2,3,1,0,1,0.020915402282111417,0.027736396642530258,0.012166872945561192,0.007541492763854473
Iraq,Morocco,-3.1389427003078885e-5,0.06739047551268679,600,645,1990,3957,1991,7,Display of force,2,6,1,0,1,NA,NA,NA,NA
Iraq,Egypt,0.23083531969603088,0.3906484283322952,651,645,1990,3957,1991,20,War,2,6,1,0,1,0.23731014468452877,0.010119174915089513,0.006474824988497885,-0.38052925341720567
Iraq,Niger,0.0010204291703787987,0.11993333648824202,436,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-1.6968124789960494e-5,0.03079615026841179,-0.0010373972951687592,-0.08913718621983023
Iraq,Senegal,1.572352808240523e-4,0.19123262906386948,433,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-5.867472010360814e-5,0.10438268211856166,-2.1591000092766044e-4,-0.08684994694530782
Iraq,Sierra Leone,-4.287993550792845e-5,0.196937592275152,451,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-2.5677702747314694e-5,0.05602656101521996,1.7202232760613754e-5,-0.14091103125993204
Iraq,Canada,0.20859473874956935,0.19969804412902256,20,645,1990,3957,1991,20,War,2,6,1,0,1,-6.585082981138454e-5,9.740128544763863e-4,-0.20866058957938075,-0.1987240312745462
Iraq,USA,-8.680177953569089e-5,0.1472766834313023,2,645,1990,3957,1991,20,War,2,6,1,0,1,2.0014624233115032e-4,0.007742307418356694,2.869480218668412e-4,-0.1395343760129456
Iraq,Argentina,0.08107821410338938,0.04752102901823726,160,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-1.7695677594678353e-4,0.0023009942348275023,-0.08125517087933616,-0.04522003478340975
Iraq,Saudi Arabia,0.7504266451780578,0.16119046332934575,670,645,1990,3957,1991,20,War,2,6,1,0,1,0.010403467847778436,0.01164390330399566,-0.7400231773302793,-0.14954656002535008
Iraq,Syria,0.1263762226864203,0.13450900504905544,652,645,1990,3957,1991,20,War,2,6,1,0,1,0.002093503765544106,0.07585785511473483,-0.12428271892087618,-0.05865114993432061
Iraq,United Arab Emirates,0.3470082367296915,0.22101857301336914,696,645,1990,3957,1991,16,Use of force,2,6,1,0,1,0.00021014811058613309,0.027553101148495636,-0.3467980886191054,-0.1934654718648735
Iraq,Turkey,0.1864223166764674,0.08435355598634987,640,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-1.1804178773177948e-4,0.0025811047333972655,-0.18654035846419917,-0.08177245125295261
Iraq,Bangladesh,0.0011439678944130175,0.17104452300124579,771,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-9.703503111411463e-5,0.027786063484796217,-0.001241002925527132,-0.14325845951644955
Iraq,Pakistan,3.8284792517029065e-4,0.10717393835679444,770,645,1990,3957,1991,7,Display of force,2,6,1,0,1,-1.5931074586649418e-4,0.0035533986353976236,-5.421586710367848e-4,-0.10362053972139681
Iraq,Belgium-Lux,4.2203031983306487e-4,0.08637713149944068,211,645,1990,3957,1991,7,Display of force,2,6,1,0,1,3.6673584024637854e-5,0.008139851399872068,-3.85356735808427e-4,-0.07823728009956861
