country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Spain,Iraq,3.671668270107486e-4,0.11451517439473591,645,230,1990,3957,1991,20,War,2,6,0,1,1,1.383574054186354e-4,0.01619419477478444,-2.288094215921132e-4,-0.09832097961995147
Spain,Jordan,0.026591791858898466,0.09206897796752843,663,230,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.0030883212333516377,0.16632624605531304,-0.023503470625546828,0.07425726808778461
UK,Iraq,0.2606519008354915,0.10995060055741127,645,200,1990,3957,1991,20,War,2,6,0,1,1,0.0018194812839880312,0.0017697509184823716,-0.2588324195515035,-0.10818084963892889
UK,Jordan,0.012753300542100342,0.0871288060103707,663,200,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.011003464156836349,0.15862457963934187,-0.0017498363852639937,0.07149577362897118
Australia,Iraq,0.07720858516615789,0.11948628744440892,645,900,1990,3957,1991,20,War,2,6,0,1,1,-8.761808003639628e-5,0.009615815803716628,-0.07729620324619428,-0.1098704716406923
Australia,Jordan,0.004134908257667478,0.05628405454888583,663,900,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.004519277262052638,0.22530403166586965,3.843690043851596e-4,0.16901997711698383
Canada,Yugoslavia,0.012878941460096662,-0.0017815936747719674,345,20,1992,3551,1996,15,Use of force,1,0,0,1,1,0.0027329063909589937,-0.0017835189420659376,-0.010146035069137669,-1.925267293970221e-6
USA,Yugoslavia,0.03926805550627425,-0.0027160067112362144,345,2,1992,3551,1996,15,Use of force,1,0,0,1,1,0.005691370016140002,-0.003114975714386326,-0.03357668549013425,-3.9896900315011157e-4
Turkey,Yugoslavia,0.3268447448708467,-0.002254037433098092,345,640,1992,3551,1996,15,Use of force,1,0,0,1,1,0.14664186276683322,-0.00400068457625135,-0.18020288210401347,-0.0017466471431532575
Belgium-Lux,Yugoslavia,0.3216618512263365,-0.0028743070991146696,345,211,1992,3551,1996,15,Use of force,1,0,0,1,1,0.047940181012701144,-0.0036424301759982094,-0.27372167021363536,-7.681230768835398e-4
Denmark,Yugoslavia,0.14495611466308805,-0.004922247512388264,345,390,1992,3551,1996,15,Use of force,1,0,0,1,1,0.03509867981433121,-0.0050041776851432185,-0.10985743484875685,-8.193017275495446e-5
"France,Monac",Yugoslavia,0.21120934337894934,-0.004157038999555838,345,220,1992,3551,1996,15,Use of force,1,0,0,1,1,0.06042574506609942,-0.004921190914216281,-0.15078359831284993,-7.641519146604422e-4
Germany,Yugoslavia,0.24255355887918947,-0.003983920187460652,345,255,1992,3551,1996,15,Use of force,1,0,0,1,1,0.03058349459805757,-0.005242258508512463,-0.2119700642811319,-0.0012583383210518105
Greece,Yugoslavia,0.2225151207357144,-0.0028259743209797026,345,350,1992,3551,1996,15,Use of force,1,0,0,1,1,0.11355127923278777,-0.004010268052654874,-0.10896384150292662,-0.0011842937316751717
Italy,Yugoslavia,0.4152773308666228,-0.0027301484237661636,345,325,1992,3551,1996,15,Use of force,1,0,0,1,1,0.062265878387555075,-0.003663937346560632,-0.3530114524790677,-9.337889227944685e-4
Netherlands,Yugoslavia,0.13047057930016548,-0.00465408876623266,345,210,1992,3551,1996,15,Use of force,1,0,0,1,1,0.049163200031673716,-0.004483863743470277,-0.08130737926849177,1.7022502276238267e-4
Portugal,Yugoslavia,0.3845022431459772,-0.0037816779592041868,345,235,1992,3551,1996,15,Use of force,1,0,0,1,1,0.04950817175373589,-0.004115035721626864,-0.3349940713922413,-3.333577624226769e-4
Spain,Yugoslavia,0.5269127792142648,-0.0032315010044611475,345,230,1992,3551,1996,15,Use of force,1,0,0,1,1,0.03385484453103563,-0.0038656596335520607,-0.4930579346832292,-6.341586290909132e-4
UK,Yugoslavia,0.2375255667919971,-0.004179446036951954,345,200,1992,3551,1996,15,Use of force,1,0,0,1,1,0.030621795417654002,-0.003966346548882765,-0.2069037713743431,2.1309948806918968e-4
Romania,Yugoslavia,0.33680200745730166,0.0029108897367864173,345,360,1992,3551,1996,15,Use of force,1,0,0,1,1,0.3319245561473565,0.016366409951172937,-0.004877451309945158,0.013455520214386521
Georgia,Russian Fed,0.20100979182060033,NA,365,372,1992,3561,1993,17,Use of force,2,2,0,1,1,0.019446040757683372,NA,-0.18156375106291694,NA
Dem.Rp.Congo,Belgium-Lux,0.024083463497691145,0.09039502463593128,211,490,1993,4032,1993,0,No militarized action,4,0,0,1,1,0.010747586046368959,0.09062762725189448,-0.013335877451322186,2.3260261596319554e-4
Canada,Haiti,0.02003957582317097,0.032456578947162744,41,20,1993,4016,1994,7,Display of force,1,0,0,1,1,0.0759066648787718,0.15779955406205531,0.05586708905560084,0.12534297511489256
USA,Haiti,-0.0014230807694519778,0.015535919069619692,41,2,1993,4016,1994,7,Display of force,1,0,0,1,1,-7.691555990137802e-4,0.08309993089001638,6.539251704381976e-4,0.06756401182039669
Argentina,Haiti,0.010179399846946772,0.02319811972887306,41,160,1993,4016,1994,7,Display of force,1,0,0,1,1,0.014753917726190282,0.07997110556475275,0.00457451787924351,0.05677298583587968
"France,Monac",Haiti,0.010167528599183009,0.021008194928087014,41,220,1993,4016,1994,7,Display of force,1,0,0,1,1,0.027574553659788666,0.03348010157023053,0.01740702506060566,0.012471906642143513
Netherlands,Haiti,0.0070472666016722415,0.028327387111009815,41,210,1993,4016,1994,7,Display of force,1,0,0,1,1,0.031953626079561835,0.056899416354008164,0.024906359477889592,0.02857202924299835
UK,Haiti,0.0167872061977452,0.019584726360070134,41,200,1993,4016,1994,7,Display of force,1,0,0,1,1,0.055859178321200346,0.053106503776496713,0.039071972123455145,0.033521777416426576
